hook,tone,cta
I made a browser tab pet that guilt-trips you for ignoring it,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
This tiny blob lives in your browser tab and follows you around,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
Closing this tab now feels emotionally illegal,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
I built emotional blackmail into a Chrome extension,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
Your browser tab can now look disappointed in you,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
Meet the tiny pet that watches your tabs,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
This extension makes you feel bad for abandoning a favicon,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
I gave a browser tab separation anxiety,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
A Tamagotchi for people with 47 tabs open,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
The cutest browser extension I should not have built,"cute guilt, gremlin sass, emotional blackmail, tiny companion",Install MenuMochi and let the tab goblin judge you.
